age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,outcome_object.id,outcome_object.name,location.latitude,location.street.id,location.street.name,location.longitude,location
over 34,Arrest,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-17T18:52:49+00:00,False,,Mixed,Person search,,Controlled drugs,bu-arrest,Arrest,51.347523,2268201.0,On or near Alfred Court,-2.974487,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2023-01-17T22:27:51+00:00,False,,White,Person search,,Controlled drugs,,,51.321551,2268623.0,On or near Beechmount Close,-2.962858,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-18T08:16:35+00:00,False,,White,Person search,,Controlled drugs,,,51.360093,2288055.0,On or near Wansdyke Road,-2.381110,
over 34,Arrest,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-18T11:50:05+00:00,False,,White,Person and Vehicle search,,Offensive weapons,bu-arrest,Arrest,50.956257,2275242.0,On or near Higher Eastern Hill,-2.666532,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-18T12:08:07+00:00,False,,White,Person search,,Article for use in theft,,,51.349940,2268706.0,On or near Milton Avenue,-2.961586,
18-24,,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),False,2023-01-18T13:04:54+00:00,True,,Black,Person search,,Controlled drugs,,,51.459290,2279828.0,On or near Harleston Street,-2.576637,
25-34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-18T14:01:13+00:00,False,,White,Person search,,Controlled drugs,bu-arrest,Arrest,50.983988,2266745.0,On or near West Hatch Lane,-3.017243,
over 34,Khat or Cannabis warning,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-18T15:08:17+00:00,False,,White,Person search,,Controlled drugs,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.015091,2266111.0,On or near Princes Street,-3.089232,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-18T17:14:45+00:00,False,,White,Person search,,Stolen goods,,,51.142010,2274025.0,On or near Street Road,-2.726941,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-18T17:16:37+00:00,False,,White,Person search,,Controlled drugs,,,51.359697,2269945.0,On or near Dartmouth Close,-2.919019,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-18T19:24:05+00:00,False,,White,Person search,,Articles for use in criminal damage,,,51.036751,2271344.0,On or near Four Seasons Mews,-2.832716,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-18T19:24:05+00:00,False,,White,Person search,,Articles for use in criminal damage,,,51.036751,2271344.0,On or near Four Seasons Mews,-2.832716,
25-34,Summons / charged by post,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-18T21:20:36+00:00,False,,White,Person search,,Controlled drugs,bu-summons,Summons / charged by post,51.506529,2278648.0,On or near Pen Park Road,-2.595085,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-19T00:28:40+00:00,False,,White,Person search,,Offensive weapons,,,51.016092,2265864.0,On or near North Street,-3.103326,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-19T01:25:30+00:00,False,,White,Person search,,Offensive weapons,,,51.222179,2268165.0,On or near Church Street,-2.974916,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-19T03:55:49+00:00,False,,White,Person search,,Article for use in theft,,,51.462813,2284454.0,On or near Loughman Close,-2.498691,
18-24,,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-19T04:09:29+00:00,False,,Other,Person and Vehicle search,,Controlled drugs,,,51.459290,2279828.0,On or near Harleston Street,-2.576637,
over 34,Khat or Cannabis warning,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),True,2023-01-19T17:30:04+00:00,False,,White,Person search,,Controlled drugs,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.436772,2272990.0,On or near Sunnymede Road,-2.764125,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-19T17:30:49+00:00,False,,White,Person search,,Offensive weapons,,,51.387847,2274348.0,On or near Downside Road,-2.704043,
25-34,,True,,Female,Police and Criminal Evidence Act 1984 (section 1),,2023-01-20T02:07:04+00:00,False,,White,Person search,,Offensive weapons,,,51.458611,2280611.0,On or near Supermarket,-2.564639,
10-17,Khat or Cannabis warning,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-20T02:10:55+00:00,False,,White,Person search,,Controlled drugs,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.374069,2287507.0,On or near Windrush Close,-2.404285,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-20T03:20:04+00:00,False,,White,Person search,,Articles for use in criminal damage,,,51.462630,2279332.0,On or near Little Bishop Street,-2.584927,
25-34,,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-20T03:45:04+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.466721,2280249.0,On or near Waverley Street,-2.570353,
over 34,,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-20T03:45:04+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.464346,2277975.0,On or near Abbotsford Road,-2.606354,
25-34,,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-20T05:39:54+00:00,False,,White,Person search,,Controlled drugs,,,51.131480,2267397.0,On or near Cannon Close,-2.994427,
10-17,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-20T09:50:16+00:00,False,,White,Person search,,Stolen goods,bu-arrest,Arrest,51.525403,2278462.0,On or near Parking Area,-2.598546,
10-17,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-20T09:50:16+00:00,False,,White,Person search,,Stolen goods,bu-arrest,Arrest,51.525403,2278462.0,On or near Parking Area,-2.598546,
10-17,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-20T10:24:15+00:00,False,,White,Person search,,Stolen goods,bu-arrest,Arrest,51.527177,2278468.0,On or near Shopping Area,-2.597305,
10-17,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-20T10:24:15+00:00,False,,White,Person search,,Stolen goods,bu-arrest,Arrest,51.527177,2278468.0,On or near Shopping Area,-2.597305,
10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-20T12:51:49+00:00,False,,White,Person search,,,bu-no-further-action,A no further action disposal,51.039099,2265833.0,On or near Pyrland Fields,-3.100963,
25-34,,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-20T20:01:03+00:00,False,,White,Person search,,Controlled drugs,,,51.411657,2277369.0,On or near Gatehouse Close,-2.614528,
18-24,,True,Mixed/Multiple ethnic groups - White and Black Caribbean,Female,Police and Criminal Evidence Act 1984 (section 1),,2023-01-20T20:31:52+00:00,False,,Mixed,Person search,,,,,51.523680,2278716.0,On or near Shopping Area,-2.594444,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-20T21:20:48+00:00,False,,White,Person search,,Offensive weapons,,,51.019036,2265861.0,On or near Supermarket,-3.103938,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-20T23:42:48+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.491166,2279637.0,On or near Wessex Court,-2.578350,
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-20T23:42:48+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.491166,2279637.0,On or near Wessex Court,-2.578350,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-20T23:42:48+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.491166,2279637.0,On or near Wessex Court,-2.578350,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-20T23:42:48+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.491166,2279637.0,On or near Wessex Court,-2.578350,
,,False,,,Misuse of Drugs Act 1971 (section 23),True,2023-01-21T00:00:00+00:00,,,,Vehicle search,,Controlled drugs,,,51.215544,2267744.0,On or near Alstone Gardens,-2.984426,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-21T00:36:26+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,,,,,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-21T00:36:26+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,,,,,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-21T00:36:26+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,,,,,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-21T01:07:23+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.345215,2269313.0,On or near Shopping Area,-2.941837,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-21T01:07:23+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.345215,2269313.0,On or near Shopping Area,-2.941837,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2023-01-21T01:07:23+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.345215,2269313.0,On or near Shopping Area,-2.941837,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-21T01:48:48+00:00,False,,White,Person search,,Stolen goods,,,,,,,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-21T03:02:58+00:00,False,,White,Person search,,Offensive weapons,,,51.127903,2267016.0,On or near Clare Street,-3.006898,
25-34,,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-21T03:03:25+00:00,False,,White,Person search,,Controlled drugs,,,51.351328,2267945.0,On or near Grove Road,-2.979623,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-21T03:39:08+00:00,False,,White,Person search,,Controlled drugs,,,51.127368,2266995.0,On or near Nightclub,-3.008372,
25-34,,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-21T03:57:33+00:00,False,,White,Person search,,Controlled drugs,,,51.127368,2266995.0,On or near Nightclub,-3.008372,
over 34,,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-21T03:57:33+00:00,False,,White,Person search,,Controlled drugs,,,51.127368,2266995.0,On or near Nightclub,-3.008372,
25-34,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-21T04:06:43+00:00,False,,White,Person search,,Offensive weapons,,,51.612287,2283090.0,On or near Castle Coombe,-2.521413,
18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-21T04:07:03+00:00,False,,White,Person search,,Stolen goods,bu-arrest,Arrest,51.124506,2266836.0,On or near St Matthew'S Field,-3.011797,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),False,2023-01-21T04:51:38+00:00,False,,White,Person search,,Articles for use in criminal damage,,,,,,,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-21T06:29:14+00:00,False,,White,Person search,,Offensive weapons,,,51.053879,2274027.0,On or near Fairfield,-2.725217,
25-34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-21T09:50:38+00:00,False,,White,Person search,,Stolen goods,bu-arrest,Arrest,50.979056,2264975.0,On or near Supermarket,-3.224698,
25-34,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-21T09:50:38+00:00,False,,White,Person search,,Stolen goods,bu-arrest,Arrest,50.979056,2264975.0,On or near Supermarket,-3.224698,
over 34,,True,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-21T11:08:33+00:00,False,,Black,Person search,,Offensive weapons,,,51.470657,2280700.0,On or near Bourne Lane,-2.563362,
10-17,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-21T13:49:24+00:00,False,,White,Person search,,Stolen goods,bu-arrest,Arrest,51.133012,2267390.0,On or near Supermarket,-2.996161,
over 34,Arrest,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-21T15:35:23+00:00,False,,White,Person search,,Offensive weapons,bu-arrest,Arrest,51.147749,2274297.0,On or near Lambrook Street,-2.712091,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-21T15:39:58+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.017062,2266347.0,On or near Derwent Grove,-3.070588,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2023-01-21T15:39:58+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.017062,2266347.0,On or near Derwent Grove,-3.070588,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-21T16:08:58+00:00,False,,White,Person search,,Article for use in theft,,,51.432617,2281886.0,On or near Theatre/Concert Hall,-2.539951,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),False,2023-01-21T16:08:58+00:00,False,,White,Person search,,Article for use in theft,,,51.432617,2281886.0,On or near Theatre/Concert Hall,-2.539951,
10-17,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-21T16:08:58+00:00,False,,White,Person search,,Articles for use in criminal damage,,,51.432617,2281886.0,On or near Theatre/Concert Hall,-2.539951,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),False,2023-01-21T20:49:53+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.455474,2278539.0,On or near Host Street,-2.597126,
,,False,,,Police and Criminal Evidence Act 1984 (section 1),False,2023-01-22T00:00:00+00:00,,,,Vehicle search,,,,,51.609229,2283459.0,On or near Oakleaze Road,-2.515573,
,A no further action disposal,False,,,Misuse of Drugs Act 1971 (section 23),,2023-01-22T00:00:00+00:00,,,,Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.478543,2282358.0,On or near Alexandra Park,-2.536460,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-22T00:55:37+00:00,False,,White,Person search,,Controlled drugs,,,51.428076,2279232.0,On or near Melvin Square,-2.586398,
25-34,,True,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),False,2023-01-22T01:13:27+00:00,False,,Black,Person search,,Offensive weapons,,,51.450979,2278477.0,On or near Canon'S Road,-2.598608,
25-34,Arrest,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-22T02:32:44+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-arrest,Arrest,51.459122,2278762.0,On or near Whitson Street,-2.594036,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-22T02:33:42+00:00,False,,White,Person search,,Offensive weapons,,,,,,,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-22T02:33:42+00:00,False,,White,Person search,,Offensive weapons,,,50.940356,2276468.0,On or near South Street,-2.631349,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-22T02:33:42+00:00,False,,White,Person search,,Offensive weapons,,,50.940356,2276468.0,On or near South Street,-2.631349,
18-24,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-22T02:33:42+00:00,False,,White,Person search,,Offensive weapons,,,50.940356,2276468.0,On or near South Street,-2.631349,
,,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-22T02:33:42+00:00,False,,White,Person search,,Offensive weapons,,,50.940356,2276468.0,On or near South Street,-2.631349,
18-24,,True,Mixed/Multiple ethnic groups - White and Black African,Male,Police and Criminal Evidence Act 1984 (section 1),False,2023-01-22T02:33:42+00:00,False,,Mixed,Person search,,Offensive weapons,,,50.940356,2276468.0,On or near South Street,-2.631349,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-22T02:33:42+00:00,False,,White,Person search,,Offensive weapons,,,50.940356,2276468.0,On or near South Street,-2.631349,
over 34,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-22T03:12:02+00:00,False,,Other,Person and Vehicle search,,Controlled drugs,,,51.459290,2279828.0,On or near Harleston Street,-2.576637,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-22T03:12:02+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.459290,2279828.0,On or near Harleston Street,-2.576637,
18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-22T03:39:06+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-arrest,Arrest,,,,,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-22T03:39:06+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,,,,,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-22T04:36:12+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.133169,2267201.0,On or near The Leggar,-2.996722,
25-34,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-22T05:08:22+00:00,False,,Black,Person search,,Offensive weapons,,,51.450979,2278477.0,On or near Canon'S Road,-2.598608,
25-34,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-22T05:08:22+00:00,False,,Black,Person search,,Offensive weapons,,,51.450979,2278477.0,On or near Canon'S Road,-2.598608,
25-34,,True,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-22T05:25:57+00:00,False,,Asian,Person search,,Controlled drugs,,,51.420592,2279671.0,On or near Heatherdene,-2.579889,
25-34,,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-22T12:37:47+00:00,False,,White,Person search,,Evidence of offences under the Act,,,51.175529,2282178.0,On or near Cannard'S Grave Road,-2.536139,
18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-22T14:43:22+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-arrest,Arrest,51.436877,2278898.0,On or near Dunford Road,-2.592208,
18-24,,True,,Female,Police and Criminal Evidence Act 1984 (section 1),,2023-01-22T15:05:02+00:00,False,,Black,Person search,,Offensive weapons,,,51.449257,2278245.0,On or near Canons Way,-2.601377,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-22T16:50:52+00:00,False,,White,Person search,,Controlled drugs,,,,,,,
over 34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-22T16:53:02+00:00,False,,White,Person search,,Stolen goods,bu-arrest,Arrest,51.381578,2288542.0,On or near Cheap Street,-2.360052,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),False,2023-01-22T17:13:07+00:00,False,,White,Person search,,Offensive weapons,,,51.377053,2288320.0,On or near Cedar Way,-2.369398,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),False,2023-01-22T18:04:42+00:00,False,,White,Person search,,Offensive weapons,,,51.377053,2288320.0,On or near Cedar Way,-2.369398,
18-24,Arrest,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-22T18:09:57+00:00,False,,White,Person search,,Controlled drugs,bu-arrest,Arrest,51.442706,2280774.0,On or near Chatsworth Road,-2.562529,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-22T19:06:37+00:00,False,,White,Person search,,Controlled drugs,,,51.442692,2277350.0,On or near Theatre/Concert Hall,-2.615346,
25-34,,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-22T21:49:37+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.151758,2274375.0,On or near Breynton Road,-2.707892,
,A no further action disposal,False,,,Police and Criminal Evidence Act 1984 (section 1),,2023-01-23T00:00:00+00:00,,,,Vehicle search,,Stolen goods,bu-no-further-action,A no further action disposal,51.506778,2276413.0,On or near Church Lane,-2.631801,
over 34,,True,Other ethnic group - Not stated,Female,Misuse of Drugs Act 1971 (section 23),,2023-01-23T00:03:47+00:00,False,,White,Person search,,Controlled drugs,,,51.456782,2278573.0,On or near Narrow Lewins Mead,-2.596208,
over 34,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-23T00:03:47+00:00,False,,,Person search,,Controlled drugs,,,51.456782,2278573.0,On or near Narrow Lewins Mead,-2.596208,
18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),True,2023-01-23T01:27:27+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-arrest,Arrest,51.128048,2267077.0,On or near High Street,-3.005629,
over 34,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-23T01:47:22+00:00,False,,Mixed,Person search,,Article for use in theft,,,51.462497,2280189.0,On or near Easton Way,-2.571653,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-23T02:43:27+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,,,,,
10-17,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-23T12:51:11+00:00,False,,White,Person search,,,bu-community-resolution,Community resolution,51.133462,2267745.0,On or near Wyndham Road,-2.984494,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2023-01-23T13:03:26+00:00,False,,White,Person search,,Controlled drugs,,,51.140563,2268091.0,On or near Hospital,-2.974127,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-23T18:14:36+00:00,False,,White,Person search,,Offensive weapons,,,51.485395,2272932.0,On or near Petrol Station,-2.767559,
over 34,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-23T18:27:11+00:00,False,,White,Person search,,Stolen goods,bu-community-resolution,Community resolution,51.525403,2278462.0,On or near Parking Area,-2.598546,
over 34,,True,Mixed/Multiple ethnic groups - White and Asian,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-23T19:04:25+00:00,True,,Asian,Person search,,Controlled drugs,,,51.444178,2279701.0,On or near Bellevue Road,-2.579583,
over 34,Arrest,True,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-23T21:53:11+00:00,False,,White,Person search,,Anything to threaten or harm anyone,bu-arrest,Arrest,51.387847,2274348.0,On or near Downside Road,-2.704043,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),False,2023-01-23T22:07:26+00:00,False,,White,Person search,,Offensive weapons,,,51.407281,2278874.0,On or near Cromford Close,-2.591193,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-23T22:07:26+00:00,False,,White,Person search,,Offensive weapons,,,51.407281,2278874.0,On or near Cromford Close,-2.591193,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-23T22:07:26+00:00,False,,White,Person search,,Offensive weapons,,,51.407281,2278874.0,On or near Cromford Close,-2.591193,
18-24,,True,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-23T22:22:16+00:00,False,,,Person and Vehicle search,,Controlled drugs,,,51.464750,2283492.0,On or near Soundwell Road,-2.514230,
10-17,Khat or Cannabis warning,True,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-23T22:22:16+00:00,False,,,Person and Vehicle search,,Controlled drugs,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.464750,2283492.0,On or near Soundwell Road,-2.514230,
10-17,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2023-01-23T23:33:51+00:00,False,,White,Person search,,Offensive weapons,,,51.479378,2282032.0,On or near New Buildings,-2.540675,
18-24,,True,,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-24T06:54:20+00:00,True,,Other,Person and Vehicle search,,Controlled drugs,,,51.348525,2268229.0,On or near Alfred Street,-2.973963,
